manifest_sha256	3bbe5c2f6c82b4ddaf4ecbc2825ace3b0edc3072e67fe09f6e68447e89fd1013
A2-CORPUS-MANIFEST-V1
source_commit	61bbd665535e942ef3b05c5ed45661639d3a37a9
source_tree	b6f7fcddd8723f0ba231bb8b9f8ca49be8a6eec8
file_count	92
included_count	74
excluded_count	18
EXCLUDE	README.md	bbed59f8bc826e5bece65fe526b12adab1bade2c	repository-facing overview/status; not an A2 normative destination source
EXCLUDE	alpha_requirements_source.md	ce0edc4f3ada4ba033d6203288c1cdac06cda3e8	historical Alpha source; not normalized Phase-0 authority
EXCLUDE	docs/ALPHA_TRACEABILITY.md	5e25cbb7114755a32aadbd79700384266b5b5665	historical source/disposition traceability; not normalized Phase-0 destination authority
INCLUDE	docs/ARCHITECTURE.md	8301f25d4a5266083efb8a20694ea230c36118f1	accepted synthesis/authority used for destination interpretation
EXCLUDE	docs/BETA_REQUIREMENTS.md	990f1398f205c320ea96685e00160c4239016e93	pre-normalization Beta baseline; explicitly non-substitutive for normalized authority
INCLUDE	docs/BRANDING.md	acebdea434c422ecdef28771f2eb70b006dff650	accepted synthesis/authority used for destination interpretation
INCLUDE	docs/COMMUNICATIONS_CONTRACT.md	36444b1cf7570e19b3ac64e56d340b9e61d96b48	accepted focused normative contract
INCLUDE	docs/DECISIONS.md	ce282ded29ed9970cdd22a8ebb187ad31a680a70	accepted synthesis/authority used for destination interpretation
INCLUDE	docs/FOUNDATION_GAPS.md	a4fbea1f01380fc0be51f336bd0344a304e8541a	accepted synthesis/authority used for destination interpretation
INCLUDE	docs/FOUNDATION_RUNTIME_CONTRACT.md	62151646b314f99b1686a115153bbd96b8608a28	accepted focused normative contract
INCLUDE	docs/GLOSSARY.md	b4626783771bb41b7414c7b53ab62ce6af8bd338	accepted synthesis/authority used for destination interpretation
INCLUDE	docs/IMPORT_CONTRACT.md	08dcf31d23748d4269538baa6ee1fcd7499585e8	accepted focused normative contract
INCLUDE	docs/INFRASTRUCTURE_CONTRACT.md	0ddd00c2fac19576554253f6bf7e63b75c90224b	accepted focused normative contract
INCLUDE	docs/INVENTORY_LIFECYCLE.md	75fc0d62347392cbd881a418bf903b7ef3446608	accepted focused normative contract
